site,lon,lat
SPO_PL0566A_5_002,21.08418,51.05061
SPO_PL0568A_5_001,18.82672,49.71973
SPO_PL0574A_5_001,16.70456,53.6989
SPO_PL0582A_5_001,18.60568,53.01248
SPO_PL0595A_5_002,21.68837,50.57574
SPO_PL0643A_5_002,19.89536,50.0812
SPO_PL0677A_5_001,21.44094,50.29913
SPO_PL0681A_5_001,22.34834,53.82839
SPO_PL0682A_5_001,19.96904,53.69459
SPO_PL0694A_5_002,19.24528,50.03308
SPO_PL0700A_5_001,16.99963,52.44929
SPO_PL0704A_5_001,20.63369,50.879
SPO_PL0707A_5_001,18.68207,50.67569
SPO_PL0728A_5_002,19.80064,50.11603
SPO_PL0735A_5_001,19.93679,49.99144
SPO_PL0754A_5_002,19.56404,50.284
SPO_PL0764A_5_001,19.13143,51.58921
SPO_PL0793A_5_001,20.64286,50.88601
SPO_PL0796A_5_001,18.63408,49.75599
SPO_PL0800A_5_001,16.99805,52.39088
SPO_PL0807A_5_001,20.03488,49.47668
SPO_PL0819A_5_001,19.97846,50.02461
SPO_PL0821A_5_001,21.1246,52.08228
SPO_PL0845A_5_001,18.77126,50.31707
SPO_PL0859A_5_001,18.56882,54.32883
SPO-PT01021_00005_100,-8.64472,41.19972
SPO-PT01023_00005_100,-8.55278,41.20667
SPO-PT01024_00005_100,-8.61861,41.23556
