site,lon,lat
SPO-RO0236A_06001_101,26.14091,44.46806
SPO-RO0237A_06001_101,26.14021,44.43214
SPO-RO0240A_06001_101,26.07075,44.42268
SPO-RO0241A_06001_101,26.12042,44.39268
SPO-RO0242A_06001_101,26.13041,44.38614
SPO-RO0243A_06001_101,26.1492,44.41851
SPO-RO0245A_06001_101,26.11314,44.4071
SPO-RO0246A_06001_101,26.12012,44.30011
SPO-RO0247A_06001_101,26.13543,44.49926
SPO-RO0248A_06001_101,26.18419,44.48824
SPO-RO0249A_06001_101,26.24713,44.38578
SPO-SI0001A_06001_101,15.26248,46.23451
SPO-SI0003A_06001_101,14.51272,46.06554
SPO-SI0008R_06001_101,14.85807,45.5611
SPO-SI0033A_06001_101,16.19132,46.65209
SPO-SI0034A_06001_101,13.65239,45.95557
SPO-SI0036A_06001_101,14.99612,46.13111
SPO-SI0037A_06001_100,15.08329,46.14391
SPO-SI0059A_06001_101,15.62612,46.56835
SPO-SI0061A_06001_101,15.17726,45.80182
SPO-SI0074A_06001_102,15.05395,46.15751
SPO-SI0075A_06001_101,14.48927,46.03749
SPO-SI0076A_06001_101,15.24624,46.23566
SPO-SI0077A_06001_101,15.87651,46.4255
